EC:1 	 GO:0016491
EC:1.13.99.1 	 GO:0050113
EC:1.13.99.3 	 GO:0050360
EC:1.14 	 GO:0016705
EC:1.14.11 	 GO:0016706
EC:1.14.11.1 	 GO:0008336
EC:1.14.11.10 	 GO:0047079
EC:1.14.11.11 	 GO:0047998
EC:1.14.11.12 	 GO:0047927
EC:1.14.11.13 	 GO:0045543
EC:1.14.11.14 	 GO:0047594
EC:1.14.11.15 	 GO:0016707
EC:1.14.11.16 	 GO:0004597
EC:1.14.11.17 	 GO:0000908
EC:1.14.11.18 	 GO:0048244
EC:1.14.11.19 	 GO:0050589
EC:1.14.11.2 	 GO:0004656
EC:1.14.11.20 	 GO:0050590
EC:1.14.11.21 	 GO:0033758
EC:1.14.11.22 	 GO:0033759
EC:1.14.11.23 	 GO:0045431
EC:1.14.11.24 	 GO:0033760
EC:1.14.11.25 	 GO:0033761
EC:1.14.11.25 	 GO:0052860
EC:1.14.11.26 	 GO:0045442
EC:1.14.11.27 	 GO:0051864
EC:1.14.11.28 	 GO:0033763
EC:1.14.11.3 	 GO:0047080
EC:1.14.11.4 	 GO:0008475
EC:1.14.11.6 	 GO:0050341
EC:1.14.11.7 	 GO:0019797
EC:1.14.11.8 	 GO:0050353
EC:1.14.11.9 	 GO:0045486
EC:1.14.12 	 GO:0016708
EC:1.14.12.1 	 GO:0018618
EC:1.14.12.10 	 GO:0018623
EC:1.14.12.11 	 GO:0018624
EC:1.14.12.12 	 GO:0018625
EC:1.14.12.13 	 GO:0018626
EC:1.14.12.14 	 GO:0018627
EC:1.14.12.15 	 GO:0018628
EC:1.14.12.16 	 GO:0018629
EC:1.14.12.17 	 GO:0008941
EC:1.14.12.18 	 GO:0018687
EC:1.14.12.19 	 GO:0008695
EC:1.14.12.3 	 GO:0018619
EC:1.14.12.4 	 GO:0047081
EC:1.14.12.5 	 GO:0047592
EC:1.14.12.7 	 GO:0018620
EC:1.14.12.8 	 GO:0018621
EC:1.14.12.9 	 GO:0018622
EC:1.14.13 	 GO:0016709
EC:1.14.13.1 	 GO:0018658
EC:1.14.13.10 	 GO:0018663
EC:1.14.13.100 	 GO:0033783
EC:1.14.13.101 	 GO:0033784
EC:1.14.13.104 	 GO:0052582
EC:1.14.13.107 	 GO:0018635
EC:1.14.13.107 	 GO:0052601
EC:1.14.13.108 	 GO:0036189
EC:1.14.13.109 	 GO:0036204
EC:1.14.13.11 	 GO:0016710
EC:1.14.13.111 	 GO:0018648
EC:1.14.13.12 	 GO:0018664
EC:1.14.13.122 	 GO:0010277
EC:1.14.13.13 	 GO:0004498
EC:1.14.13.132 	 GO:0004506
EC:1.14.13.137 	 GO:0036190
EC:1.14.13.138 	 GO:0036191
EC:1.14.13.139 	 GO:0036192
EC:1.14.13.14 	 GO:0050344
EC:1.14.13.140 	 GO:0036193
EC:1.14.13.141 	 GO:0036199
EC:1.14.13.142 	 GO:0036200
EC:1.14.13.143 	 GO:0036201
EC:1.14.13.144 	 GO:0036209
EC:1.14.13.145 	 GO:0036202
EC:1.14.13.146 	 GO:0036203
EC:1.14.13.147 	 GO:0036239
EC:1.14.13.148 	 GO:0034899
EC:1.14.13.149 	 GO:0097266
EC:1.14.13.15 	 GO:0047749
EC:1.14.13.16 	 GO:0047799
